budget,genres,id,imdb_id,original_language,original_title,popularity,release_date,revenue,runtime,title,vote_average,vote_count
105000000.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}]",10198.0,tt0780521,en,The Princess and the Frog,38.400999999999996,2009-12-08,270997378.0,97.0,The Princess and the Frog,7.1,3698.0
18500000.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 878, 'name': 'Science Fiction'}]",679.0,tt0090605,en,Aliens,33.648,1986-07-18,183316455.0,137.0,Aliens,7.9,6405.0
0.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",572751.0,tt7221772,en,Seized,24.505,2020-10-12,0.0,85.0,Seized,6.1,19.0
50000000.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]",834.0,tt0401855,en,Underworld: Evolution,34.422,2006-01-12,111476513.0,106.0,Underworld: Evolution,6.5,2876.0
50000000.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}]",60304.0,tt1428538,en,Hansel & Gretel: Witch Hunters,34.548,2013-01-17,226349749.0,88.0,Hansel & Gretel: Witch Hunters,6.0,5268.0
0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",576004.0,tt8485772,en,Porno,42.357,2020-04-10,0.0,98.0,Porno,6.1,16.0
40000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]",459992.0,tt2139881,en,Long Shot,35.972,2019-05-02,53847136.0,125.0,Long Shot,6.8,1649.0
0.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 16, 'name': 'Animation'}]",144288.0,tt2358913,ja,ベルセルク 黄金時代篇III 降臨,30.54,2013-02-01,0.0,110.0,Berserk: The Golden Age Arc III - The Advent,7.5,171.0
750000.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",561362.0,tt6610158,en,Rust Creek,34.637,2019-01-04,0.0,108.0,Rust Creek,6.2,86.0
0.0,"[{'id': 35, 'name': 'Comedy'}]",375794.0,tt5259966,es,No Manches Frida,36.859,2016-09-02,12421716.0,100.0,No Manches Frida,7.7,395.0
0.0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 16, 'name': 'Animation'}, {'id': 28, 'name': 'Action'}]",408647.0,tt6315800,en,Teen Titans: The Judas Contract,41.038999999999994,2017-03-31,0.0,84.0,Teen Titans: The Judas Contract,7.5,405.0
0.0,"[{'id': 27, 'name': 'Horror'}]",680593.0,tt10229558,en,The Dark and the Wicked,44.232,2020-10-29,0.0,95.0,The Dark and the Wicked,5.0,4.0
0.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}]",11852.0,tt0302640,en,The Hot Chick,31.52,2002-12-13,35081550.0,104.0,The Hot Chick,6.2,1233.0
61000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]",7485.0,tt0822854,en,Shooter,36.121,2007-03-22,95696996.0,124.0,Shooter,7.0,3181.0
125000000.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 27, 'name': 'Horror'}]",282035.0,tt2345759,en,The Mummy,29.136,2017-06-06,409231607.0,110.0,The Mummy,5.5,5438.0
12000000.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]",222935.0,tt2582846,en,The Fault in Our Stars,48.714,2014-05-16,307166834.0,125.0,The Fault in Our Stars,7.6,8930.0
0.0,"[{'id': 28, 'name': 'Action'}]",571650.0,tt7511008,fr,Paradise Beach,29.035,2019-02-20,0.0,93.0,Paradise Beach,5.0,85.0
2500000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}]",139038.0,tt2243537,en,A Haunted House,33.760999999999996,2013-01-11,60141683.0,86.0,A Haunted House,5.7,1154.0
